Age,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,label
>=25.5,2,own,little,unknown,>=3913.5,>=15.5,business,0
>=25.5,1,own,little,unknown,<3913.5,<15.5,car,1
>=25.5,2,own,unknown,moderate,<3913.5,>=15.5,car,1
<25.5,2,own,little,moderate,<3913.5,>=15.5,radio/TV,0
>=25.5,2,own,unknown,unknown,<3913.5,>=15.5,car,1
>=25.5,2,own,little,little,<3913.5,<15.5,radio/TV,1
>=25.5,3,own,quite rich,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,quite rich,rich,<3913.5,<15.5,car,0
<25.5,2,own,little,moderate,<3913.5,>=15.5,radio/TV,1
>=25.5,3,own,little,unknown,>=3913.5,>=15.5,car,1
>=25.5,3,own,little,unknown,<3913.5,<15.5,business,0
>=25.5,1,rent,quite rich,unknown,<3913.5,<15.5,car,1
>=25.5,2,own,unknown,little,<3913.5,>=15.5,car,0
>=25.5,2,own,little,unknown,>=3913.5,>=15.5,car,1
>=25.5,1,own,little,little,<3913.5,<15.5,car,0
<25.5,2,rent,unknown,little,>=3913.5,>=15.5,education,1
>=25.5,3,own,quite rich,unknown,<3913.5,>=15.5,car,1
>=25.5,2,own,unknown,moderate,<3913.5,>=15.5,car,0
<25.5,2,rent,rich,unknown,<3913.5,<15.5,car,1
>=25.5,2,own,unknown,moderate,<3913.5,<15.5,car,1
>=25.5,1,own,little,moderate,<3913.5,<15.5,car,1
>=25.5,3,own,moderate,unknown,<3913.5,>=15.5,furniture/equipment,1
<25.5,2,own,unknown,moderate,<3913.5,<15.5,furniture/equipment,0
<25.5,2,rent,little,moderate,<3913.5,>=15.5,car,1
>=25.5,2,own,little,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,rich,unknown,<3913.5,>=15.5,radio/TV,1
<25.5,2,own,little,unknown,<3913.5,<15.5,furniture/equipment,1
>=25.5,0,free,little,little,<3913.5,>=15.5,repairs,0
>=25.5,1,own,little,unknown,<3913.5,<15.5,business,1
>=25.5,3,own,little,moderate,>=3913.5,>=15.5,vacation/others,0
>=25.5,3,free,little,little,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,own,little,unknown,<3913.5,>=15.5,repairs,1
<25.5,2,own,little,little,<3913.5,<15.5,furniture/equipment,1
<25.5,2,own,unknown,moderate,<3913.5,<15.5,radio/TV,0
<25.5,1,rent,quite rich,unknown,<3913.5,<15.5,repairs,1
>=25.5,2,own,rich,unknown,<3913.5,>=15.5,car,1
>=25.5,0,own,little,little,<3913.5,>=15.5,repairs,1
>=25.5,0,own,little,rich,<3913.5,<15.5,business,0
>=25.5,3,own,little,unknown,<3913.5,<15.5,car,1
>=25.5,2,own,little,little,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,vacation/others,1
>=25.5,1,own,little,unknown,<3913.5,<15.5,education,0
>=25.5,3,own,little,moderate,>=3913.5,>=15.5,furniture/equipment,0
>=25.5,1,rent,unknown,unknown,<3913.5,<15.5,education,1
>=25.5,2,own,little,little,<3913.5,>=15.5,car,0
>=25.5,2,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,3,own,unknown,rich,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,own,rich,moderate,<3913.5,<15.5,repairs,0
>=25.5,3,own,unknown,unknown,>=3913.5,>=15.5,car,1
>=25.5,2,own,little,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,little,unknown,<3913.5,<15.5,furniture/equipment,1
>=25.5,3,own,little,unknown,<3913.5,>=15.5,car,1
>=25.5,2,own,little,little,>=3913.5,>=15.5,car,0
>=25.5,3,own,little,unknown,<3913.5,>=15.5,car,1
>=25.5,2,rent,little,little,<3913.5,<15.5,car,1
>=25.5,2,free,little,little,<3913.5,<15.5,car,0
>=25.5,2,own,little,little,<3913.5,<15.5,domestic appliances,1
>=25.5,2,own,little,unknown,>=3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,little,<3913.5,>=15.5,furniture/equipment,1
>=25.5,2,own,little,little,<3913.5,<15.5,car,1
>=25.5,3,rent,little,moderate,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,own,unknown,moderate,<3913.5,<15.5,education,1
>=25.5,2,own,little,unknown,<3913.5,>=15.5,business,1
>=25.5,2,own,little,little,<3913.5,>=15.5,car,1
>=25.5,1,rent,little,little,<3913.5,>=15.5,radio/TV,0
>=25.5,2,own,unknown,unknown,>=3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,unknown,<3913.5,>=15.5,business,1
>=25.5,1,own,little,unknown,>=3913.5,>=15.5,car,1
<25.5,2,rent,moderate,moderate,<3913.5,>=15.5,radio/TV,0
<25.5,2,own,little,little,<3913.5,<15.5,education,0
>=25.5,1,own,little,little,<3913.5,<15.5,car,0
>=25.5,3,own,unknown,unknown,<3913.5,<15.5,education,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,radio/TV,0
>=25.5,2,rent,little,little,<3913.5,>=15.5,furniture/equipment,0
<25.5,2,own,quite rich,unknown,<3913.5,>=15.5,car,1
<25.5,2,own,little,rich,>=3913.5,>=15.5,radio/TV,1
>=25.5,1,own,moderate,moderate,<3913.5,<15.5,business,1
>=25.5,2,own,little,little,<3913.5,<15.5,furniture/equipment,1
<25.5,1,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,car,1
>=25.5,2,rent,rich,little,<3913.5,>=15.5,furniture/equipment,1
>=25.5,2,own,rich,unknown,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,own,quite rich,unknown,<3913.5,<15.5,car,1
>=25.5,3,own,little,moderate,<3913.5,<15.5,car,0
>=25.5,2,own,little,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,free,little,unknown,<3913.5,>=15.5,car,1
>=25.5,1,rent,moderate,unknown,<3913.5,<15.5,car,1
>=25.5,2,rent,little,unknown,<3913.5,<15.5,car,1
>=25.5,2,own,little,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,3,free,little,moderate,>=3913.5,>=15.5,business,0
>=25.5,2,own,moderate,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,unknown,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,1,rent,little,little,<3913.5,<15.5,car,1
<25.5,2,own,unknown,little,<3913.5,>=15.5,furniture/equipment,0
>=25.5,3,rent,moderate,moderate,>=3913.5,>=15.5,furniture/equipment,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,furniture/equipment,1
>=25.5,1,own,little,moderate,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,moderate,rich,<3913.5,<15.5,car,1
>=25.5,2,own,little,little,<3913.5,>=15.5,car,0
>=25.5,2,free,little,little,>=3913.5,>=15.5,car,1
>=25.5,2,own,moderate,rich,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,moderate,moderate,<3913.5,>=15.5,radio/TV,0
<25.5,2,rent,little,little,<3913.5,>=15.5,car,0
>=25.5,1,own,unknown,unknown,<3913.5,<15.5,car,0
>=25.5,2,own,quite rich,rich,<3913.5,<15.5,car,1
>=25.5,3,own,moderate,moderate,>=3913.5,<15.5,car,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,3,own,moderate,unknown,>=3913.5,>=15.5,car,1
>=25.5,2,own,little,little,<3913.5,<15.5,car,0
>=25.5,3,free,little,unknown,>=3913.5,>=15.5,car,1
>=25.5,2,rent,little,rich,<3913.5,<15.5,business,1
<25.5,2,rent,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,unknown,unknown,<3913.5,>=15.5,car,1
>=25.5,2,own,little,little,<3913.5,<15.5,car,1
>=25.5,1,own,little,little,<3913.5,<15.5,car,1
<25.5,2,rent,little,unknown,>=3913.5,>=15.5,furniture/equipment,0
>=25.5,2,own,moderate,little,<3913.5,<15.5,car,1
>=25.5,2,free,unknown,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,free,little,unknown,>=3913.5,>=15.5,repairs,1
<25.5,2,own,little,little,<3913.5,>=15.5,radio/TV,0
>=25.5,2,free,little,little,>=3913.5,>=15.5,furniture/equipment,0
<25.5,2,own,moderate,unknown,<3913.5,>=15.5,car,1
>=25.5,1,own,little,moderate,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,moderate,>=3913.5,>=15.5,car,1
>=25.5,2,own,moderate,unknown,<3913.5,<15.5,education,1
>=25.5,1,own,little,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,rent,little,little,<3913.5,>=15.5,radio/TV,0
>=25.5,1,own,little,little,<3913.5,<15.5,car,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,education,1
>=25.5,2,rent,moderate,moderate,<3913.5,<15.5,car,0
>=25.5,2,rent,little,unknown,<3913.5,<15.5,car,1
>=25.5,2,own,moderate,unknown,<3913.5,>=15.5,radio/TV,1
<25.5,2,own,unknown,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,rent,little,rich,<3913.5,>=15.5,education,0
>=25.5,3,own,unknown,little,<3913.5,<15.5,car,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,furniture/equipment,1
>=25.5,3,free,little,little,>=3913.5,>=15.5,car,0
>=25.5,1,own,little,rich,<3913.5,>=15.5,furniture/equipment,1
<25.5,2,rent,little,moderate,<3913.5,<15.5,radio/TV,0
>=25.5,2,free,little,unknown,<3913.5,>=15.5,car,1
>=25.5,2,own,unknown,little,>=3913.5,>=15.5,furniture/equipment,0
>=25.5,1,own,little,rich,<3913.5,>=15.5,furniture/equipment,0
>=25.5,1,own,little,unknown,<3913.5,<15.5,car,1
>=25.5,2,free,little,little,<3913.5,>=15.5,car,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,car,1
>=25.5,2,own,little,unknown,<3913.5,>=15.5,radio/TV,1
<25.5,1,own,little,little,<3913.5,<15.5,radio/TV,0
>=25.5,2,free,unknown,unknown,>=3913.5,>=15.5,car,1
<25.5,2,own,unknown,unknown,<3913.5,<15.5,repairs,1
>=25.5,1,own,quite rich,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,little,little,>=3913.5,>=15.5,radio/TV,0
>=25.5,2,own,moderate,moderate,<3913.5,<15.5,car,1
>=25.5,3,own,little,moderate,<3913.5,<15.5,education,1
<25.5,2,own,little,moderate,<3913.5,<15.5,radio/TV,0
>=25.5,2,own,moderate,moderate,<3913.5,>=15.5,car,0
>=25.5,2,own,unknown,unknown,>=3913.5,>=15.5,car,0
>=25.5,2,own,little,little,<3913.5,>=15.5,furniture/equipment,0
>=25.5,1,own,little,moderate,<3913.5,>=15.5,furniture/equipment,0
>=25.5,2,free,unknown,little,<3913.5,>=15.5,car,1
<25.5,1,rent,little,little,<3913.5,>=15.5,radio/TV,0
>=25.5,2,own,little,rich,<3913.5,<15.5,radio/TV,1
>=25.5,2,free,unknown,moderate,>=3913.5,>=15.5,car,0
>=25.5,3,own,unknown,moderate,>=3913.5,>=15.5,business,1
<25.5,2,rent,moderate,moderate,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,little,<3913.5,<15.5,car,0
>=25.5,2,own,rich,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,unknown,moderate,>=3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,little,>=3913.5,>=15.5,radio/TV,0
<25.5,1,rent,little,little,<3913.5,>=15.5,furniture/equipment,0
>=25.5,2,own,little,unknown,>=3913.5,>=15.5,radio/TV,1
>=25.5,3,rent,unknown,unknown,>=3913.5,>=15.5,car,1
<25.5,1,own,little,little,<3913.5,<15.5,business,1
>=25.5,1,own,little,moderate,<3913.5,<15.5,radio/TV,1
<25.5,2,own,little,unknown,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,unknown,unknown,<3913.5,>=15.5,education,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,car,0
>=25.5,1,own,little,unknown,<3913.5,>=15.5,education,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,car,0
>=25.5,1,own,little,moderate,<3913.5,<15.5,car,1
>=25.5,2,rent,little,unknown,<3913.5,<15.5,furniture/equipment,1
>=25.5,1,rent,little,moderate,<3913.5,>=15.5,repairs,0
>=25.5,3,free,unknown,unknown,<3913.5,<15.5,car,1
<25.5,2,rent,little,little,<3913.5,>=15.5,furniture/equipment,0
>=25.5,2,rent,little,little,<3913.5,<15.5,car,1
<25.5,1,own,little,little,<3913.5,<15.5,furniture/equipment,1
>=25.5,1,own,little,little,<3913.5,>=15.5,domestic appliances,0
>=25.5,2,own,little,little,<3913.5,<15.5,furniture/equipment,0
>=25.5,1,own,little,little,<3913.5,<15.5,radio/TV,1
>=25.5,2,rent,unknown,moderate,<3913.5,>=15.5,car,1
>=25.5,1,own,rich,unknown,<3913.5,>=15.5,business,1
<25.5,1,rent,little,moderate,<3913.5,>=15.5,car,0
>=25.5,3,own,unknown,little,<3913.5,>=15.5,vacation/others,0
>=25.5,1,own,moderate,moderate,<3913.5,<15.5,car,0
<25.5,2,rent,little,little,<3913.5,>=15.5,car,0
>=25.5,1,own,little,moderate,>=3913.5,>=15.5,business,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,car,0
>=25.5,2,free,little,unknown,<3913.5,>=15.5,business,1
>=25.5,2,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,little,moderate,<3913.5,<15.5,furniture/equipment,0
>=25.5,1,free,little,moderate,<3913.5,>=15.5,education,0
>=25.5,3,own,little,unknown,<3913.5,>=15.5,furniture/equipment,0
<25.5,2,own,little,rich,<3913.5,<15.5,furniture/equipment,1
<25.5,2,own,quite rich,little,<3913.5,>=15.5,furniture/equipment,1
>=25.5,3,own,little,unknown,>=3913.5,>=15.5,business,1
>=25.5,2,free,moderate,moderate,<3913.5,>=15.5,radio/TV,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,free,unknown,unknown,<3913.5,<15.5,car,1
<25.5,2,own,moderate,little,<3913.5,<15.5,domestic appliances,0
>=25.5,1,free,moderate,rich,<3913.5,<15.5,car,0
>=25.5,2,own,rich,little,<3913.5,>=15.5,radio/TV,1
<25.5,2,rent,little,little,<3913.5,>=15.5,car,1
<25.5,2,own,little,unknown,<3913.5,>=15.5,furniture/equipment,0
>=25.5,3,own,unknown,moderate,>=3913.5,>=15.5,business,1
>=25.5,3,free,unknown,moderate,>=3913.5,>=15.5,radio/TV,1
>=25.5,2,rent,little,little,<3913.5,<15.5,car,1
<25.5,2,rent,moderate,moderate,<3913.5,>=15.5,furniture/equipment,0
>=25.5,1,own,little,unknown,<3913.5,<15.5,car,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,business,1
>=25.5,2,own,little,unknown,<3913.5,>=15.5,car,0
>=25.5,2,own,unknown,unknown,>=3913.5,>=15.5,business,0
<25.5,2,rent,little,little,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,free,little,little,<3913.5,>=15.5,radio/TV,0
>=25.5,2,own,unknown,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,little,rich,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,own,moderate,moderate,<3913.5,<15.5,car,0
>=25.5,2,own,quite rich,unknown,>=3913.5,>=15.5,furniture/equipment,1
>=25.5,1,own,unknown,unknown,<3913.5,<15.5,education,1
>=25.5,2,own,little,little,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,little,<3913.5,>=15.5,furniture/equipment,0
<25.5,2,own,unknown,moderate,<3913.5,<15.5,radio/TV,1
<25.5,2,rent,little,unknown,<3913.5,<15.5,furniture/equipment,0
<25.5,1,own,little,moderate,<3913.5,>=15.5,car,0
>=25.5,2,own,little,unknown,<3913.5,<15.5,education,1
>=25.5,2,own,quite rich,unknown,<3913.5,>=15.5,radio/TV,1
<25.5,2,own,little,unknown,>=3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,little,little,>=3913.5,>=15.5,radio/TV,0
>=25.5,0,own,little,little,<3913.5,>=15.5,education,0
>=25.5,1,own,little,moderate,<3913.5,<15.5,repairs,1
>=25.5,3,own,moderate,unknown,>=3913.5,<15.5,education,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,3,own,little,little,<3913.5,>=15.5,radio/TV,1
>=25.5,2,rent,unknown,unknown,>=3913.5,>=15.5,business,0
>=25.5,2,own,little,little,>=3913.5,>=15.5,furniture/equipment,1
>=25.5,2,own,quite rich,unknown,<3913.5,<15.5,car,0
>=25.5,2,free,little,rich,<3913.5,>=15.5,car,0
>=25.5,1,rent,little,little,<3913.5,<15.5,education,0
>=25.5,3,free,little,little,>=3913.5,>=15.5,education,1
>=25.5,1,own,little,moderate,<3913.5,<15.5,furniture/equipment,0
>=25.5,2,own,little,little,<3913.5,>=15.5,car,0
>=25.5,3,own,moderate,moderate,>=3913.5,>=15.5,car,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,car,1
<25.5,2,free,little,little,>=3913.5,<15.5,car,1
>=25.5,1,own,little,moderate,<3913.5,<15.5,car,0
>=25.5,2,own,unknown,unknown,>=3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,moderate,>=3913.5,>=15.5,business,1
>=25.5,2,own,little,moderate,>=3913.5,>=15.5,furniture/equipment,1
<25.5,2,rent,little,rich,<3913.5,<15.5,radio/TV,1
<25.5,2,own,unknown,little,<3913.5,<15.5,car,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,furniture/equipment,1
>=25.5,3,own,little,moderate,<3913.5,<15.5,furniture/equipment,1
>=25.5,1,own,little,rich,<3913.5,<15.5,education,1
>=25.5,3,own,little,unknown,>=3913.5,>=15.5,vacation/others,1
>=25.5,2,own,rich,moderate,<3913.5,>=15.5,furniture/equipment,1
>=25.5,2,own,little,unknown,<3913.5,>=15.5,business,1
>=25.5,2,rent,little,little,>=3913.5,<15.5,car,0
>=25.5,2,own,little,rich,<3913.5,>=15.5,radio/TV,1
>=25.5,1,own,moderate,unknown,>=3913.5,>=15.5,business,1
>=25.5,2,own,moderate,unknown,>=3913.5,>=15.5,business,1
>=25.5,3,own,little,unknown,>=3913.5,>=15.5,car,1
<25.5,2,own,quite rich,unknown,<3913.5,<15.5,car,1
>=25.5,1,own,quite rich,unknown,<3913.5,>=15.5,business,0
>=25.5,3,rent,little,unknown,>=3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,unknown,>=3913.5,>=15.5,furniture/equipment,1
<25.5,2,own,moderate,moderate,>=3913.5,>=15.5,radio/TV,0
>=25.5,1,rent,little,little,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,little,unknown,<3913.5,<15.5,education,1
>=25.5,2,free,unknown,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,little,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,free,little,unknown,>=3913.5,>=15.5,radio/TV,1
>=25.5,1,own,moderate,moderate,>=3913.5,>=15.5,business,1
>=25.5,2,free,unknown,unknown,>=3913.5,>=15.5,car,1
>=25.5,2,own,unknown,rich,<3913.5,<15.5,radio/TV,1
>=25.5,2,free,moderate,moderate,<3913.5,>=15.5,car,1
>=25.5,2,own,moderate,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,rich,little,<3913.5,<15.5,car,1
<25.5,2,own,little,little,<3913.5,<15.5,furniture/equipment,1
<25.5,1,own,moderate,moderate,<3913.5,<15.5,repairs,1
>=25.5,2,own,moderate,moderate,<3913.5,>=15.5,radio/TV,1
>=25.5,1,own,unknown,little,>=3913.5,<15.5,car,1
>=25.5,2,own,little,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,rent,quite rich,unknown,<3913.5,<15.5,car,1
>=25.5,2,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,0,own,little,unknown,<3913.5,<15.5,car,1
<25.5,2,own,little,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,3,rent,little,rich,<3913.5,<15.5,education,1
>=25.5,1,rent,quite rich,unknown,<3913.5,<15.5,furniture/equipment,0
>=25.5,2,free,little,little,>=3913.5,>=15.5,car,0
>=25.5,2,free,moderate,rich,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,moderate,moderate,<3913.5,>=15.5,business,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,business,1
>=25.5,2,free,quite rich,unknown,>=3913.5,<15.5,car,1
<25.5,2,own,moderate,moderate,>=3913.5,>=15.5,car,0
<25.5,2,rent,little,moderate,<3913.5,<15.5,furniture/equipment,0
<25.5,2,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,1,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,3,own,quite rich,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,free,little,little,<3913.5,<15.5,education,0
>=25.5,3,own,unknown,unknown,<3913.5,>=15.5,car,1
<25.5,1,own,little,little,<3913.5,<15.5,radio/TV,1
>=25.5,3,own,little,moderate,>=3913.5,>=15.5,car,0
>=25.5,2,own,unknown,unknown,>=3913.5,>=15.5,car,1
>=25.5,2,own,unknown,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,3,free,little,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,unknown,rich,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,moderate,moderate,>=3913.5,>=15.5,car,1
>=25.5,3,own,little,rich,<3913.5,<15.5,radio/TV,0
<25.5,2,rent,rich,moderate,<3913.5,<15.5,education,0
<25.5,1,own,little,little,<3913.5,<15.5,car,0
>=25.5,1,own,quite rich,moderate,<3913.5,<15.5,radio/TV,1
<25.5,2,rent,little,unknown,<3913.5,>=15.5,car,0
>=25.5,1,own,rich,unknown,<3913.5,<15.5,car,1
>=25.5,1,own,quite rich,unknown,<3913.5,<15.5,radio/TV,1
<25.5,2,rent,little,little,<3913.5,>=15.5,radio/TV,0
>=25.5,2,rent,little,moderate,>=3913.5,>=15.5,business,0
>=25.5,2,own,rich,rich,<3913.5,>=15.5,business,1
>=25.5,2,own,little,moderate,>=3913.5,>=15.5,radio/TV,1
<25.5,1,rent,little,little,<3913.5,>=15.5,radio/TV,0
>=25.5,1,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,2,rent,rich,unknown,<3913.5,>=15.5,car,1
>=25.5,2,own,little,unknown,<3913.5,<15.5,car,1
>=25.5,0,own,unknown,moderate,>=3913.5,>=15.5,domestic appliances,1
<25.5,3,rent,little,moderate,>=3913.5,>=15.5,car,0
>=25.5,1,own,moderate,little,>=3913.5,>=15.5,car,1
>=25.5,3,own,little,unknown,>=3913.5,<15.5,car,1
>=25.5,1,rent,moderate,moderate,>=3913.5,>=15.5,business,0
>=25.5,2,own,moderate,little,<3913.5,>=15.5,car,1
<25.5,1,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,unknown,unknown,<3913.5,>=15.5,radio/TV,1
<25.5,2,own,quite rich,little,<3913.5,>=15.5,furniture/equipment,1
>=25.5,3,own,unknown,little,>=3913.5,>=15.5,furniture/equipment,1
>=25.5,1,own,little,little,<3913.5,<15.5,business,1
<25.5,2,rent,little,little,<3913.5,<15.5,car,1
>=25.5,1,own,little,little,<3913.5,<15.5,car,0
>=25.5,2,own,unknown,unknown,>=3913.5,>=15.5,car,1
>=25.5,2,own,little,unknown,<3913.5,<15.5,car,1
>=25.5,2,own,little,little,<3913.5,<15.5,furniture/equipment,1
<25.5,1,own,little,little,<3913.5,>=15.5,car,0
<25.5,1,rent,moderate,moderate,<3913.5,<15.5,business,1
<25.5,2,own,little,unknown,>=3913.5,>=15.5,radio/TV,1
>=25.5,2,free,rich,unknown,<3913.5,<15.5,repairs,0
>=25.5,2,rent,unknown,little,<3913.5,>=15.5,car,0
>=25.5,0,own,little,rich,<3913.5,<15.5,car,1
>=25.5,2,free,unknown,rich,<3913.5,<15.5,radio/TV,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,car,1
>=25.5,2,own,little,little,<3913.5,<15.5,car,0
>=25.5,2,own,unknown,unknown,>=3913.5,<15.5,car,1
<25.5,2,rent,little,little,<3913.5,>=15.5,furniture/equipment,0
<25.5,1,own,little,little,<3913.5,<15.5,radio/TV,1
>=25.5,3,free,unknown,unknown,>=3913.5,>=15.5,car,0
>=25.5,2,own,moderate,unknown,<3913.5,>=15.5,car,1
>=25.5,1,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,1,own,little,little,<3913.5,>=15.5,furniture/equipment,0
>=25.5,2,rent,unknown,unknown,<3913.5,<15.5,car,1
>=25.5,2,rent,little,moderate,<3913.5,<15.5,furniture/equipment,1
>=25.5,1,own,little,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,2,rent,unknown,little,<3913.5,>=15.5,car,1
<25.5,3,own,little,little,>=3913.5,>=15.5,education,0
>=25.5,3,own,little,unknown,<3913.5,>=15.5,car,1
>=25.5,2,own,moderate,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,0,free,quite rich,rich,<3913.5,<15.5,car,1
<25.5,2,rent,unknown,little,<3913.5,>=15.5,car,0
>=25.5,2,own,little,unknown,<3913.5,>=15.5,car,1
<25.5,2,own,little,little,<3913.5,>=15.5,radio/TV,1
>=25.5,3,own,rich,unknown,>=3913.5,>=15.5,car,1
>=25.5,2,own,little,moderate,<3913.5,>=15.5,repairs,1
<25.5,2,own,little,moderate,>=3913.5,>=15.5,radio/TV,0
>=25.5,2,own,rich,unknown,<3913.5,>=15.5,car,1
>=25.5,1,own,little,moderate,<3913.5,<15.5,education,1
<25.5,1,own,moderate,moderate,<3913.5,<15.5,car,0
>=25.5,3,own,unknown,moderate,>=3913.5,>=15.5,car,1
>=25.5,1,own,rich,moderate,<3913.5,>=15.5,business,1
>=25.5,2,own,quite rich,unknown,<3913.5,>=15.5,radio/TV,1
>=25.5,2,own,unknown,unknown,<3913.5,>=15.5,car,1
>=25.5,2,free,little,moderate,>=3913.5,>=15.5,education,0
>=25.5,2,own,little,little,>=3913.5,>=15.5,education,0
>=25.5,2,own,little,moderate,<3913.5,>=15.5,business,0
>=25.5,3,own,unknown,unknown,>=3913.5,>=15.5,car,1
>=25.5,2,own,unknown,unknown,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,free,little,rich,<3913.5,>=15.5,furniture/equipment,1
>=25.5,2,rent,quite rich,unknown,<3913.5,>=15.5,furniture/equipment,1
<25.5,2,rent,moderate,unknown,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,free,unknown,little,>=3913.5,>=15.5,car,0
<25.5,1,rent,little,unknown,<3913.5,<15.5,furniture/equipment,1
>=25.5,2,own,unknown,unknown,<3913.5,>=15.5,car,1
>=25.5,0,own,unknown,moderate,<3913.5,<15.5,car,1
>=25.5,2,free,little,unknown,<3913.5,>=15.5,education,1
>=25.5,1,rent,little,moderate,<3913.5,>=15.5,radio/TV,1
<25.5,2,own,little,little,>=3913.5,>=15.5,furniture/equipment,1
>=25.5,2,own,unknown,unknown,<3913.5,<15.5,radio/TV,1
<25.5,0,rent,unknown,moderate,>=3913.5,<15.5,car,1
<25.5,2,own,little,little,>=3913.5,>=15.5,car,0
>=25.5,1,own,little,moderate,<3913.5,<15.5,radio/TV,1
>=25.5,2,own,unknown,unknown,<3913.5,<15.5,radio/TV,1
>=25.5,3,free,little,moderate,>=3913.5,>=15.5,car,1
>=25.5,0,rent,little,moderate,<3913.5,<15.5,car,0
